date,infected,all_infected,newly_infected,recovered,detected,all_detected,ratio_detected,hospitalized,icu,dead,r,percent_new_infected
2020-03-26,56875.0,60690.0,2496.0,3785.0,5403.125,5765.55,0.095,1308.125,261.625,809.2,1.9096126255380201,0.04112636140449161
2020-03-27,58447.0,63228.0,2538.0,4746.0,5552.465,6006.66,0.095,1344.281,268.8562,843.04,1.8773234200743494,0.04013980926473612
2020-03-28,59838.0,65669.0,2441.0,5791.0,5684.61,6238.555,0.095,1376.274,275.2548,875.5866666666667,1.7536231884057971,0.0371707019948226
2020-03-29,60464.0,67522.0,1853.0,7016.0,5744.08,6414.59,0.095,1390.672,278.1344,900.2933333333333,1.7028571428571428,0.027442501073708218
2020-03-30,60891.0,69294.0,1772.0,8353.0,5784.645,6582.93,0.095,1400.493,280.0986,923.92,1.63080684596577,0.025571830579406884
2020-03-31,61116.0,71030.0,1736.0,9854.0,5806.02,6747.85,0.095,1405.668,281.1336,947.0666666666667,1.6007434944237917,0.02444003322492996
2020-04-01,61065.0,72647.0,1617.0,11515.0,5801.175,6901.465,0.095,1404.495,280.899,968.6266666666667,1.5499669093315684,0.022258011232243146
2020-04-02,60781.0,74128.0,1481.0,13271.0,5774.195,7042.16,0.095,1397.963,279.5926,988.3733333333333,1.4634292565947242,0.019978685804475982
2020-04-03,60211.0,75520.0,1392.0,15225.0,5720.045,7174.4,0.095,1384.853,276.97060000000005,1006.9333333333333,1.3937677053824362,0.01843195932257253
2020-04-04,59523.0,76907.0,1387.0,17291.0,5654.685,7306.165,0.095,1369.029,273.80580000000003,1025.4266666666667,1.370540265035678,0.018034534768814687
2020-04-05,58749.0,78187.0,1280.0,19335.0,5581.155,7427.765,0.095,1351.227,270.2454,1042.4933333333333,1.277590361445783,0.016370798588018622
2020-04-06,57934.0,79480.0,1293.0,21428.0,5503.7300000000005,7550.6,0.095,1332.482,266.4964,1059.7333333333333,1.2035053554040895,0.016268038902379184
2020-04-07,56827.0,80621.0,1141.0,23663.0,5398.5650000000005,7658.995,0.095,1307.021,261.4042,1074.9466666666667,1.1740986717267552,0.014152464587829625
2020-04-08,55660.0,81771.0,1150.0,25972.0,5363.90119047619,7880.1933928571425,0.09636904761904762,1280.18,256.036,1090.28,1.1610320284697508,0.01406349361639681
2020-04-09,54321.0,82806.0,1035.0,28337.0,5309.231071428571,8093.300714285714,0.09773809523809524,1249.383,249.87660000000002,1104.08,1.1260250323694432,0.012498943326047314
2020-04-10,53001.0,83827.0,1021.0,30672.0,5252.777678571429,8307.854464285714,0.09910714285714285,1219.023,243.8046,1117.6933333333334,1.095619208087616,0.012179701293124016
2020-04-11,51581.0,84806.0,979.0,33061.0,5182.662380952381,8520.983809523808,0.10047619047619047,1186.363,237.2726,1130.7466666666667,1.0807347287483982,0.01154385840791444
2020-04-12,49915.0,85732.0,926.0,35648.0,5083.605059523809,8731.395952380952,0.10184523809523809,1148.045,229.60900000000004,1143.0933333333332,1.059191329720717,0.010800975120432038
2020-04-13,48461.0,86593.0,861.0,37956.0,5001.867499999999,8937.634642857141,0.1032142857142857,1114.603,222.92060000000004,1154.5733333333333,1.0177469135802468,0.009942952167586668
2020-04-14,47157.0,87613.0,1020.0,40272.0,4931.836249999999,9162.859583333333,0.10458333333333332,1084.6109999999999,216.92219999999998,1168.1733333333334,0.9386609071274298,0.011641975026822198
2020-04-15,45816.0,88605.0,992.0,42599.0,4854.314285714285,9387.910714285714,0.10595238095238094,1053.768,210.7536,1181.4,0.9530981067125646,0.011195630092770241
