Fecha,Casos activos COVID-19,Casos acumulados COVID-19,Nuevos casos diarios COVID-19,Personas recuperadas,Casos detectados COVID-19,Casos detectados acumulados,Personas hospitalizadas por COVID-19,Ingresados en UCI,Número total de fallecidos
2020-06-09,13188.0,123703.0,224.0,110042.0,1758.3999999999999,16493.733333333334,166.910625,33.382125,1585.9358974358975
2020-06-10,12706.0,123896.0,193.0,110716.0,1694.1333333333332,16519.466666666667,160.81031249999998,32.1620625,1588.4102564102564
2020-06-11,12227.0,124073.0,177.0,111371.0,1630.2666666666667,16543.066666666666,154.74796875,30.949593750000005,1590.679487179487
2020-06-12,11722.0,124214.0,141.0,112016.0,1562.9333333333334,16561.866666666665,148.35656250000002,29.671312500000006,1592.4871794871794
2020-06-13,11274.0,124360.0,146.0,112607.0,1503.2,16581.333333333332,142.6865625,28.537312500000002,1594.3589743589744
2020-06-14,10820.0,124497.0,137.0,113195.0,1442.6666666666667,16599.6,136.940625,27.388125000000002,1596.1153846153845
2020-06-15,10315.0,124604.0,107.0,113803.0,1375.3333333333333,16613.866666666665,130.54921875,26.10984375,1597.4871794871794
2020-06-16,9848.0,124713.0,109.0,114378.0,1313.0666666666666,16628.4,124.63874999999999,24.92775,1598.8846153846155
2020-06-17,9405.0,124822.0,109.0,114928.0,1254.0,16642.933333333334,119.03203125,23.806406250000002,1600.2820512820513
2020-06-18,8961.0,124903.0,81.0,115451.0,1194.8,16653.733333333334,113.41265625,22.68253125,1601.320512820513
2020-06-19,8507.0,124964.0,61.0,115963.0,1134.2666666666667,16661.866666666665,107.66671875,21.53334375,1602.1025641025642
2020-06-20,8096.0,125028.0,64.0,116437.0,1079.4666666666667,16670.4,102.465,20.493000000000002,1602.923076923077
2020-06-21,7565.0,125074.0,46.0,117013.0,1008.6666666666666,16676.533333333333,95.74453125,19.14890625,1603.5128205128206
2020-06-22,7108.0,125111.0,37.0,117504.0,947.7333333333333,16681.466666666667,89.96062500000001,17.992125,1603.9871794871794
2020-06-23,6667.0,125145.0,34.0,117976.0,888.9333333333333,16686.0,84.37921875,16.87584375,1604.423076923077
2020-06-24,6233.0,125170.0,25.0,118434.0,831.0666666666666,16689.333333333332,78.88640625,15.77728125,1604.7435897435898
2020-06-25,5834.0,125205.0,35.0,118868.0,777.8666666666667,16694.0,73.8365625,14.767312500000001,1605.1923076923076
2020-06-26,5434.0,125240.0,35.0,119302.0,724.5333333333333,16698.666666666668,68.7740625,13.7548125,1605.6410256410256
2020-06-27,5056.0,125263.0,23.0,119698.0,674.1333333333333,16701.733333333334,63.989999999999995,12.798,1605.9358974358975
2020-06-28,4695.0,125278.0,15.0,120073.0,626.0,16703.733333333334,59.421093750000004,11.884218750000002,1606.128205128205
2020-06-29,4396.0,125308.0,30.0,120401.0,586.1333333333333,16707.733333333334,55.636874999999996,11.127375,1606.5128205128206
2020-06-30,4101.0,125331.0,23.0,120716.0,546.8,16710.8,51.90328124999999,10.38065625,1606.8076923076924
2020-07-01,3800.0,125343.0,12.0,121028.0,506.6666666666667,16712.4,48.09375000000001,9.618750000000002,1606.9615384615386
2020-07-02,3520.0,125350.0,7.0,121314.0,469.3333333333333,16713.333333333332,44.550000000000004,8.910000000000002,1607.051282051282
2020-07-03,3256.0,125360.0,10.0,121588.0,434.1333333333333,16714.666666666668,41.20875,8.241750000000001,1607.179487179487
2020-07-04,3029.0,125371.0,11.0,121825.0,403.8666666666667,16716.13333333333,38.33578125,7.66715625,1607.320512820513
2020-07-05,2789.0,125378.0,7.0,122071.0,371.8666666666667,16717.066666666666,35.29828125,7.059656250000001,1607.4102564102564
2020-07-06,2562.0,125386.0,8.0,122305.0,341.6,16718.13333333333,32.4253125,6.4850625,1607.5128205128206
2020-07-07,2369.0,125394.0,8.0,122506.0,315.8666666666667,16719.2,29.98265625,5.99653125,1607.6153846153845
2020-07-08,2187.0,125403.0,9.0,122697.0,291.6,16720.4,27.67921875,5.535843750000001,1607.7307692307693
2020-07-09,2001.0,125411.0,8.0,122891.0,266.8,16721.466666666667,25.325156250000003,5.0650312500000005,1607.8333333333333
2020-07-10,1845.0,125416.0,5.0,123049.0,246.0,16722.13333333333,23.35078125,4.670156250000001,1607.8974358974358
2020-07-11,1685.0,125421.0,5.0,123213.0,224.66666666666666,16722.8,21.32578125,4.2651562499999995,1607.9615384615386
2020-07-12,1557.0,125423.0,2.0,123342.0,207.6,16723.066666666666,19.70578125,3.9411562500000006,1607.9871794871794
2020-07-13,1420.0,125430.0,7.0,123486.0,189.33333333333334,16724.0,17.971875,3.5943750000000003,1608.076923076923
2020-07-14,1299.0,125437.0,7.0,123614.0,173.2,16724.933333333334,16.44046875,3.2880937500000003,1608.1666666666667
2020-07-15,1207.0,125444.0,7.0,123713.0,160.93333333333334,16725.866666666665,15.27609375,3.05521875,1608.2564102564102
2020-07-16,1091.0,125448.0,4.0,123833.0,145.46666666666667,16726.4,13.807968749999999,2.76159375,1608.3076923076924
2020-07-17,982.0,125450.0,2.0,123943.0,130.93333333333334,16726.666666666668,12.4284375,2.4856875,1608.3333333333333
2020-07-18,886.0,125453.0,3.0,124041.0,118.13333333333333,16727.066666666666,11.2134375,2.2426875,1608.371794871795
